time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008743,0.0003,0.0041,-0.0399,0.040
0.018289,-0.0012,-0.0212,-0.0015,0.021
0.018907,0.0107,-0.0158,0.0267,0.033
0.028530,0.0027,0.0001,-0.0373,0.037
0.038424,-0.0179,-0.0123,0.0387,0.044
0.049049,-0.0090,0.0084,-0.0515,0.053
0.066117,0.0048,-0.0006,0.0118,0.013
0.070666,0.0021,0.0058,-0.0002,0.006
0.082534,-0.0065,-0.0104,0.0092,0.015
0.094770,-0.0149,0.0102,-0.0086,0.020
0.102235,-0.0009,0.0093,0.0057,0.011
0.108355,0.0011,0.0129,-0.0085,0.016
0.118294,0.0068,0.0013,-0.0060,0.009
0.131756,0.0288,-0.0113,0.0106,0.033
0.139267,-0.0121,-0.0002,-0.0155,0.020
0.148589,0.0020,-0.0046,-0.0306,0.031
0.158574,-0.0100,-0.0005,0.0429,0.044
0.178167,0.0017,0.0021,-0.0167,0.017
0.178911,-0.0197,-0.0084,0.0119,0.024
0.190853,0.0029,-0.0173,0.0058,0.018
0.199816,-0.0085,0.0164,-0.0120,0.022
0.209983,0.0069,0.0106,-0.0235,0.027
0.220015,-0.0214,-0.0260,0.0181,0.038
0.224407,-0.0059,-0.0008,0.0073,0.009
0.235727,0.0021,0.0252,0.0189,0.032
0.244503,0.0049,-0.0071,0.0386,0.040
0.255147,-0.0058,-0.0128,0.0144,0.020
0.265433,-0.0080,-0.0007,0.0142,0.016
0.277223,-0.0005,-0.0205,-0.0025,0.021
0.287271,-0.0085,-0.0106,-0.0036,0.014
0.295926,0.0140,-0.0021,0.0235,0.027
0.305570,0.0067,0.0038,0.0066,0.010
0.319640,0.0077,0.0177,-0.0194,0.027
0.325455,-0.0020,-0.0050,0.0245,0.025
0.336530,-0.0067,-0.0061,-0.0042,0.010
0.348103,0.0063,-0.0037,-0.0135,0.015
0.355960,-0.0162,-0.0059,-0.0051,0.018
0.366267,0.0064,0.0036,0.0139,0.016
0.376416,0.0214,0.0072,0.0019,0.023
0.386138,0.0033,0.0046,0.0148,0.016
0.396330,-0.0109,-0.0015,-0.0020,0.011
0.407076,0.0034,-0.0098,-0.0243,0.026
0.418279,0.0246,0.0033,0.0409,0.048
0.426649,0.0147,-0.0028,0.0202,0.025
0.437278,0.0167,-0.0158,-0.0108,0.025
0.448138,-0.0130,0.0068,-0.0083,0.017
0.459763,-0.0117,0.0065,-0.0117,0.018
0.467354,-0.0020,-0.0089,-0.0150,0.018
0.476806,-0.0151,0.0042,0.0065,0.017
0.487266,0.0051,0.0192,-0.0043,0.020
0.496926,0.0074,-0.0270,0.0135,0.031
0.508779,-0.0116,0.0030,0.0262,0.029
0.516867,0.0038,0.0288,-0.0178,0.034
0.526794,0.0132,-0.0117,-0.0057,0.019
0.536838,-0.0035,0.0121,0.0167,0.021
0.548425,-0.0272,0.0120,-0.0071,0.031
0.560351,0.0026,-0.0083,-0.0235,0.025
0.571475,0.0073,0.0097,0.0240,0.027
0.578133,-0.0107,-0.0069,-0.0211,0.025
0.587683,-0.0249,0.0108,-0.0337,0.043
0.598931,0.0026,0.0058,0.0316,0.032
0.607953,-0.0047,0.0092,0.0193,0.022
0.617738,0.0130,-0.0334,-0.0022,0.036
0.630452,-0.0048,0.0155,0.0155,0.022
0.640648,-0.0095,0.0013,0.0093,0.013
0.648814,-0.0023,0.0002,-0.0120,0.012
0.659200,0.0025,0.0226,0.0200,0.030
0.670604,-0.0013,-0.0156,-0.0051,0.016
